schema_version,regime,ticker,strategy,benchmark_ticker,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure,regime_information_cutoff,volatility_threshold_method,return_attribution_policy
2,bull/low_volatility,SPY,MA_Cross,SPY,0.544424,1.287818,-0.138693,9,1.000000,19929.667735,-0.093237,0.900990,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,SPY,MA_Cross,SPY,-0.000102,0.056950,-0.110866,3,1.000000,8044.289986,-0.111889,0.672269,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,SPY,MA_Cross,SPY,0.002590,0.329643,-0.015577,2,0.000000,0.000000,-0.071548,0.315789,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,SPY,MA_Cross,SPY,-0.040360,-0.639342,-0.056588,3,0.000000,0.000000,-0.168825,0.160000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,SPY,MA_Cross,SPY,-0.050648,-1.311574,-0.092909,2,0.500000,6.815234,-0.046681,0.471429,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,SPY,MA_Cross,SPY,-0.088952,-1.550877,-0.109428,4,0.000000,0.000000,0.011672,0.604396,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,SPY,RSI_Mean_Reversion,SPY,0.007509,0.074666,-0.095897,11,1.000000,17985.959768,-0.630151,0.086634,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,SPY,RSI_Mean_Reversion,SPY,0.176210,4.887438,-0.016787,5,1.000000,23337.756156,0.064423,0.352941,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,SPY,RSI_Mean_Reversion,SPY,0.055718,4.295672,-0.018310,0,0.000000,0.000000,-0.018421,0.947368,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,SPY,RSI_Mean_Reversion,SPY,0.065676,0.433667,-0.135593,4,0.000000,0.000000,-0.062788,0.830000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,SPY,RSI_Mean_Reversion,SPY,0.055174,1.550725,-0.045839,3,0.000000,0.000000,0.059141,0.685714,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,SPY,RSI_Mean_Reversion,SPY,-0.085337,-1.627228,-0.125982,3,0.500000,0.903262,0.015288,0.505495,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,SPY,MACD_Momentum,SPY,0.019485,0.121405,-0.075363,83,0.454545,1.948767,-0.618176,0.524752,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,SPY,MACD_Momentum,SPY,0.013431,0.353002,-0.073525,12,0.200000,1.502859,-0.098356,0.563025,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,SPY,MACD_Momentum,SPY,-0.004980,-3.641862,-0.004980,1,0.000000,0.000000,-0.079118,0.000000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,SPY,MACD_Momentum,SPY,0.033839,0.324332,-0.124028,16,0.142857,0.201363,-0.094626,0.540000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,SPY,MACD_Momentum,SPY,-0.007784,-0.337736,-0.032980,2,0.000000,0.000000,-0.003817,0.300000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,SPY,MACD_Momentum,SPY,-0.028589,-0.552985,-0.096466,4,1.000000,8878.133867,0.072036,0.560440,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,TSLA,MA_Cross,TSLA,-0.114685,0.094726,-0.601116,12,1.000000,474464.947221,-0.680261,0.800875,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,TSLA,MA_Cross,TSLA,0.028251,0.341937,-0.335256,2,1.000000,55146.099760,0.200053,0.709877,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,TSLA,MA_Cross,TSLA,0.269399,2.062064,-0.063352,4,0.000000,0.000000,0.352517,0.156069,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,TSLA,MA_Cross,TSLA,0.048563,0.476251,-0.091793,3,0.000000,0.000000,-1.383113,0.083333,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,TSLA,MA_Cross,TSLA,-0.070880,0.023608,-0.367967,7,1.000000,50199.222745,0.093727,0.642308,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,TSLA,MA_Cross,TSLA,0.364002,2.977663,-0.077120,2,0.000000,0.000000,0.106409,0.493333,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,TSLA,RSI_Mean_Reversion,TSLA,0.456785,0.900597,-0.237660,11,1.000000,81200.767164,-0.108791,0.214442,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,TSLA,RSI_Mean_Reversion,TSLA,-0.090094,-0.241019,-0.196657,5,1.000000,149483.338939,0.081708,0.364198,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,TSLA,RSI_Mean_Reversion,TSLA,-0.348211,-1.022218,-0.465456,4,1.000000,10336.537241,-0.265093,0.867052,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,TSLA,RSI_Mean_Reversion,TSLA,0.675805,1.383265,-0.273580,2,0.000000,0.000000,-0.755872,0.883333,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,TSLA,RSI_Mean_Reversion,TSLA,0.779362,1.527180,-0.226549,9,1.000000,63633.031692,0.943970,0.411538,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,TSLA,RSI_Mean_Reversion,TSLA,0.074526,0.734993,-0.145052,5,0.000000,0.000000,-0.183066,0.693333,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,TSLA,MACD_Momentum,TSLA,1.365065,1.364625,-0.263035,35,0.352941,7.107814,0.799489,0.564551,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,TSLA,MACD_Momentum,TSLA,-0.027992,0.078765,-0.294293,14,0.571429,5.479228,0.143810,0.450617,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,TSLA,MACD_Momentum,TSLA,0.128354,0.696156,-0.266576,9,0.200000,0.219878,0.211473,0.485549,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,TSLA,MACD_Momentum,TSLA,0.727999,1.696628,-0.289340,14,0.000000,0.000000,-0.703678,0.666667,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,TSLA,MACD_Momentum,TSLA,0.490643,1.467714,-0.178459,23,0.500000,1.813323,0.655250,0.419231,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,TSLA,MACD_Momentum,TSLA,-0.134377,-0.981754,-0.238145,6,0.333333,2.479108,-0.391969,0.520000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,BTC-USD,MA_Cross,BTC-USD,0.283162,0.434006,-0.489056,14,0.625000,9.890284,-0.511131,0.833333,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,BTC-USD,MA_Cross,BTC-USD,4.113629,2.702977,-0.244359,5,0.666667,63.772986,-2.907570,0.833828,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,BTC-USD,MA_Cross,BTC-USD,-0.041697,-0.042490,-0.208981,4,0.000000,0.000000,0.086643,0.177285,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,BTC-USD,MA_Cross,BTC-USD,-0.150467,-0.776482,-0.213891,7,0.000000,0.000000,-0.679337,0.132780,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,BTC-USD,MA_Cross,BTC-USD,-0.273278,-1.048810,-0.410411,10,0.200000,0.001211,-0.071425,0.380435,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,BTC-USD,MA_Cross,BTC-USD,0.365613,3.983375,-0.047457,4,1.000000,58318.070547,0.734921,0.262500,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,BTC-USD,RSI_Mean_Reversion,BTC-USD,-0.029145,-0.061211,-0.167129,8,1.000000,12421.625591,-0.823438,0.093391,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
