schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,test_start,test_end,train_observations,test_observations,parameter_set,in_sample_sharpe,in_sample_total_return,out_of_sample_total_return,out_of_sample_sharpe,out_of_sample_max_drawdown,out_of_sample_trades,starting_capital,ending_capital,continuity_policy,boundary_position_policy,boundary_liquidation_costs,linked_return,cumulative_oos_return,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis
2,calendar_duration,MSFT,RSI_Mean_Reversion,22,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=30;overbought=70,0.602295,0.444074,0.197818,2.887865,-0.033103,4,100000.000000,119781.844644,continuous_capital,liquidate_at_test_end_close,0.000000,0.197818,0.197818,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,23,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,lookback=40;multiplier=1.5,0.353692,0.178912,0.309514,2.284752,-0.096895,4,100000.000000,130951.417359,continuous_capital,liquidate_at_test_end_close,188.426065,0.309514,0.309514,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,24,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=8;slow=21;signal=5,-0.046867,-0.074671,0.047345,0.691183,-0.076290,16,107501.508098,112591.174703,continuous_capital,liquidate_at_test_end_close,160.139646,0.047345,0.125912,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,25,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=5;long=100,1.211821,0.754372,0.051996,0.771498,-0.089301,6,134724.983708,141730.123543,continuous_capital,liquidate_at_test_end_close,202.993917,0.051996,0.417301,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,26,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=7;oversold=35;overbought=65,0.950619,0.654960,0.007378,0.186852,-0.069538,8,119781.844644,120665.566116,continuous_capital,liquidate_at_test_end_close,0.000000,0.007378,0.206656,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,27,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,lookback=40;multiplier=2,0.517487,0.311891,-0.088100,-2.057074,-0.093455,4,130951.417359,119414.588862,continuous_capital,liquidate_at_test_end_close,0.000000,-0.088100,0.194146,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,28,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=8;slow=21;signal=5,0.115623,0.013306,0.105638,1.684547,-0.067507,16,112591.174703,124485.097500,continuous_capital,liquidate_at_test_end_close,176.937373,0.105638,0.244851,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,29,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=5;long=200,0.706354,0.280438,0.000000,0.000000,0.000000,0,141730.123543,141730.123543,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.417301,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,30,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,period=14;oversold=30;overbought=70,0.742919,0.439481,0.060674,1.430090,-0.046010,2,120665.566116,127986.835211,continuous_capital,liquidate_at_test_end_close,0.000000,0.060674,0.279868,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,31,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,lookback=20;multiplier=1.5,0.800152,0.496116,0.076133,1.141740,-0.094917,12,119414.588862,128505.984319,continuous_capital,liquidate_at_test_end_close,183.665029,0.076133,0.285060,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,32,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=8;slow=21;signal=5,-0.038606,-0.068176,-0.000446,0.066328,-0.083806,12,124485.097500,124429.547024,continuous_capital,liquidate_at_test_end_close,0.000000,-0.000446,0.244295,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,33,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=5;long=200,1.051110,0.545908,-0.133957,-1.903578,-0.142471,10,141730.123543,122744.408710,continuous_capital,liquidate_at_test_end_close,174.442833,-0.133957,0.227444,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,34,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,period=7;oversold=35;overbought=65,0.848150,0.517534,-0.035206,-0.460253,-0.104495,12,127986.835211,123480.986111,continuous_capital,liquidate_at_test_end_close,175.706912,-0.035206,0.234810,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,35,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,lookback=20;multiplier=1.5,0.663874,0.378835,-0.065199,-1.133672,-0.090234,6,128505.984319,120127.527341,continuous_capital,liquidate_at_test_end_close,0.000000,-0.065199,0.201275,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,36,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=8;slow=21;signal=5,-0.090154,-0.096939,-0.023756,-0.150926,-0.190123,14,124429.547024,121473.585260,continuous_capital,liquidate_at_test_end_close,174.127634,-0.023756,0.214736,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,37,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=30;long=200,0.964485,0.525576,0.072053,2.841937,-0.011937,2,122744.408710,131588.533404,continuous_capital,liquidate_at_test_end_close,191.097700,0.072053,0.315885,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,38,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,period=7;oversold=35;overbought=65,0.659194,0.372601,0.129972,1.309820,-0.067711,10,123480.986111,139530.008866,continuous_capital,liquidate_at_test_end_close,0.000000,0.129972,0.395300,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,Volatility_Breakout,39,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,lookback=40;multiplier=1.5,0.471280,0.242592,0.007192,0.173442,-0.146012,10,120127.527341,120991.512410,continuous_capital,liquidate_at_test_end_close,175.603292,0.007192,0.209915,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
