schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,total_return,benchmark_gross_return,benchmark_net_return,excess_return,annualized_return,volatility,sharpe,max_drawdown,win_rate,profit_factor,num_trades,turnover,total_transaction_costs,cost_drag,average_trade_return
2,MSFT,MA_Cross,short=10;long=200,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.184276,1.945336,1.943932,-1.759656,0.028686,0.131889,0.280623,-0.270241,0.125000,1.185924,17,18.047240,2707.062873,0.027071,0.027723
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.429387,1.945336,1.943932,-1.514545,0.061559,0.178075,0.424805,-0.388541,0.411765,1.711712,34,41.475744,6221.373823,0.062214,0.026716
2,MSFT,MA_Cross,short=20;long=100,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.175219,1.945336,1.943932,-1.768712,0.027366,0.125234,0.278311,-0.193325,0.500000,1.640107,12,11.917825,1787.678549,0.017877,0.038817
2,MSFT,MA_Cross,short=20;long=150,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.258575,1.945336,1.943932,-1.685356,0.039206,0.126068,0.368267,-0.221960,0.333333,1.976203,12,13.737980,2060.704054,0.020607,0.058360
2,MSFT,MA_Cross,short=20;long=200,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.579106,1.945336,1.943932,-1.364826,0.079390,0.126817,0.666224,-0.150120,0.500000,5.670616,5,6.692394,1003.836482,0.010038,0.272055
2,MSFT,MA_Cross,short=30;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.203606,1.945336,1.943932,-1.740325,0.031475,0.178399,0.263183,-0.373292,0.352941,1.290325,34,37.607400,5641.116514,0.056411,0.016737
2,MSFT,MA_Cross,short=30;long=100,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.201046,1.945336,1.943932,-1.742886,0.031107,0.124709,0.308129,-0.233920,0.600000,1.974076,10,10.182968,1527.450614,0.015275,0.047530
2,MSFT,MA_Cross,short=30;long=150,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.523039,1.945336,1.943932,-1.420893,0.072884,0.125301,0.624449,-0.196060,0.666667,4.670766,6,8.192609,1228.904733,0.012289,0.190758
2,MSFT,MA_Cross,short=30;long=200,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.577497,1.945336,1.943932,-1.366434,0.079206,0.129516,0.653768,-0.188183,0.500000,5.124118,5,6.831043,1024.633077,0.010246,0.278713
2,MSFT,RSI_Mean_Reversion,period=7;oversold=20;overbought=80,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.749724,1.945336,1.943932,-1.194208,0.098068,0.215771,0.541563,-0.216680,0.724138,2.577863,58,76.292739,11443.932492,0.114439,0.022127
2,MSFT,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.648081,1.945336,1.943932,-1.295850,0.087134,0.218844,0.491220,-0.216680,0.666667,2.114087,72,93.858741,14078.830869,0.140788,0.015841
2,MSFT,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.423215,1.945336,1.943932,-1.520716,0.060791,0.206895,0.388643,-0.205364,0.642857,1.559553,84,99.045163,14856.788673,0.148568,0.010006
2,MSFT,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.685747,1.945336,1.943932,-1.258185,0.091250,0.210948,0.519479,-0.247328,0.701754,1.867767,114,143.815003,21572.272968,0.215723,0.010493
2,MSFT,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.397366,1.945336,1.943932,-1.546565,0.057545,0.164784,0.421685,-0.232704,0.600000,5.284821,10,10.654006,1598.111274,0.015981,0.082938
2,MSFT,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.711935,1.945336,1.943932,-1.231997,0.094066,0.199621,0.550115,-0.200058,0.888889,8.894403,19,26.273236,3940.963653,0.039410,0.072404
2,MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.970163,1.945336,1.943932,-0.973769,0.120074,0.211815,0.641387,-0.203997,0.833333,5.297093,37,55.764052,8364.587421,0.083646,0.044210
2,MSFT,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.619347,1.945336,1.943932,-1.324584,0.083941,0.214761,0.482862,-0.247032,0.714286,2.765242,43,55.408984,8311.327677,0.083113,0.026617
2,MSFT,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.119049,1.945336,1.943932,-1.824883,0.018987,0.093111,0.248213,-0.212315,1.000000,999999.000000,2,2.042051,306.310696,0.003063,0.123823
2,MSFT,RSI_Mean_Reversion,period=21;oversold=25;overbought=75,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.345576,1.945336,1.943932,-1.598355,0.050887,0.174350,0.371558,-0.311457,1.000000,999999.000000,6,6.594035,989.114208,0.009891,0.108893
2,MSFT,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.421209,1.945336,1.943932,-1.522722,0.060541,0.166824,0.435734,-0.219713,0.714286,19.091581,15,16.917068,2537.536962,0.025375,0.055336
2,MSFT,RSI_Mean_Reversion,period=21;oversold=35;overbought=65,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.743772,1.945336,1.943932,-1.200160,0.097443,0.197523,0.569559,-0.212711,0.818182,7.574482,23,30.198209,4529.709596,0.045297,0.054000
2,MSFT,MACD_Momentum,fast=8;slow=21;signal=5,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.017658,1.945336,1.943932,-1.961589,-0.002975,0.179332,0.072979,-0.307363,0.393258,0.989297,179,186.826532,28023.962865,0.280240,0.000786
2,MSFT,MACD_Momentum,fast=12;slow=26;signal=9,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.147523,1.945336,1.943932,-2.091454,-0.026337,0.177550,-0.061515,-0.413928,0.366667,0.886739,121,116.713738,17507.041106,0.175070,-0.001068
2,MSFT,MACD_Momentum,fast=16;slow=32;signal=9,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.133016,1.945336,1.943932,-2.076948,-0.023585,0.175897,-0.047791,-0.422154,0.357143,0.902913,113,106.713749,16007.042273,0.160070,-0.000737
2,MSFT,MACD_Momentum,fast=20;slow=40;signal=10,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.191939,1.945336,1.943932,-2.135870,-0.035010,0.169779,-0.125042,-0.442147,0.346939,0.830240,99,89.360331,13404.029034,0.134040,-0.002577
2,MSFT,Volatility_Breakout,lookback=10;multiplier=1,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.275086,1.945336,1.943932,-2.219018,-0.052374,0.199599,-0.169645,-0.461347,0.368852,0.857630,245,207.213009,31081.934944,0.310819,-0.001690
