ticker,strategy,parameter_set,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
SPY,MA_Cross,short=20;long=50,0,0,0.555159,0.694103,30.127149,0.000000,0.000000,0.000000
SPY,MA_Cross,short=20;long=50,0,5,0.537518,0.677486,29.973561,1498.655277,0.017641,157.347816
SPY,MA_Cross,short=20;long=50,0,10,0.519790,0.660353,29.819347,2981.844714,0.035369,156.961038
SPY,MA_Cross,short=20;long=50,0,25,0.467592,0.609455,29.339413,7334.315409,0.087568,158.494236
SPY,MA_Cross,short=20;long=50,5,0,0.537518,0.677486,29.973106,1498.655277,0.017641,157.347816
SPY,MA_Cross,short=20;long=50,5,5,0.519790,0.660352,29.818897,2981.867214,0.035369,156.960040
SPY,MA_Cross,short=20;long=50,5,10,0.501238,0.642734,29.649658,4447.360330,0.053921,154.435716
SPY,MA_Cross,short=20;long=50,5,25,0.448998,0.591166,29.147154,8743.618317,0.106162,156.881431
SPY,MA_Cross,short=20;long=50,10,0,0.519790,0.660353,29.818447,2981.844714,0.035369,156.961038
SPY,MA_Cross,short=20;long=50,10,5,0.501238,0.642734,29.649216,4447.360330,0.053921,154.435716
SPY,MA_Cross,short=20;long=50,10,10,0.483776,0.625639,29.482739,5896.460558,0.071383,155.544067
SPY,MA_Cross,short=20;long=50,10,25,0.432453,0.574084,29.008721,10152.531534,0.122707,158.349882
SPY,MA_Cross,short=20;long=50,20,0,0.483777,0.625640,29.481867,5896.373308,0.071382,155.545968
SPY,MA_Cross,short=20;long=50,20,5,0.467591,0.609454,29.337692,7334.401466,0.087569,158.492678
SPY,MA_Cross,short=20;long=50,20,10,0.448997,0.591165,29.145887,8743.681652,0.106162,156.880495
SPY,MA_Cross,short=20;long=50,20,25,0.400069,0.540559,28.697151,12913.211497,0.155090,161.081547
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,0,0.287554,0.346209,30.927157,0.000000,0.000000,0.000000
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,5,0.269617,0.331156,30.749034,1537.458839,0.017937,80.158501
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,10,0.251844,0.316289,30.530478,3053.076008,0.035710,80.525553
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,25,0.200194,0.271709,29.889411,7472.524469,0.087360,82.290194
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,0,0.269617,0.331156,30.749177,1537.458839,0.017937,80.158501
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,5,0.251844,0.316289,30.530619,3053.068948,0.035710,80.525712
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,10,0.234295,0.301256,30.322492,4548.401807,0.053259,80.987415
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,25,0.183299,0.256745,29.679961,8904.158640,0.104255,82.745161
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,0,0.251844,0.316289,30.530760,3053.076008,0.035710,80.525553
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,5,0.234295,0.301256,30.322632,4548.401807,0.053259,80.987415
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,10,0.217285,0.286672,30.099825,6019.992847,0.070269,81.844325
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,25,0.166015,0.241132,29.472588,10315.574084,0.121539,82.807881
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,0,0.217285,0.286672,30.100103,6020.020595,0.070269,81.844001
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,5,0.200195,0.271709,29.889960,7472.496977,0.087359,82.290453
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,10,0.183299,0.256745,29.680370,8904.138214,0.104255,82.745323
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,25,0.133921,0.211756,29.084628,13088.248042,0.153633,84.226255
SPY,MACD_Momentum,fast=12;slow=26;signal=9,0,0,0.475753,0.635719,164.473127,0.000000,0.000000,0.000000
