ticker,strategy,parameter_set,window_id,date,portfolio_value,cash,holdings,total_return,drawdown
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-28,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-29,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-30,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-03,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-04,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-05,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-06,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-09,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-10,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-11,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-12,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-13,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-16,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-17,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-18,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-19,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-20,84647.157425,5071.657425,79575.500000,-0.153528,-0.153528
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-23,88571.657425,5071.657425,83500.000000,-0.114283,-0.114283
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-24,89997.838852,5071.657425,84926.181427,-0.100022,-0.100022
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-25,90916.333755,5071.657425,85844.676331,-0.090837,-0.090837
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-26,89981.137832,5071.657425,84909.480408,-0.100189,-0.100189
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-27,92065.294571,5071.657425,86993.637146,-0.079347,-0.079347
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-09-30,92456.079055,5071.657425,87384.421631,-0.075439,-0.075439
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-01,91250.333755,5071.657425,86178.676331,-0.087497,-0.087497
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-02,88244.338852,5071.657425,83172.681427,-0.117557,-0.117557
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-03,85452.098648,5071.657425,80380.441223,-0.145479,-0.145479
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-04,88598.378036,5071.657425,83526.720612,-0.114016,-0.114016
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-07,85508.878036,5071.657425,80437.220612,-0.144911,-0.144911
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-08,86734.657425,5071.657425,81663.000000,-0.132653,-0.132653
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-09,85582.358444,5071.657425,80510.701019,-0.144176,-0.144176
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-10,84820.838852,5071.657425,79749.181427,-0.151792,-0.151792
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-11,77816.858444,5071.657425,72745.201019,-0.221831,-0.221831
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-14,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-15,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-16,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-17,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-18,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-21,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-22,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-23,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-24,78484.830685,78484.830685,0.000000,-0.215152,-0.215152
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-25,82144.443686,5156.102988,76988.340698,-0.178556,-0.178556
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-10-28,80233.965781,5156.102988,75077.862793,-0.197660,-0.197660
