schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,0,0.132338,0.205373,33.878430,13551.372187,0.160694,72.941606
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,5,0.113539,0.193483,33.607583,15123.392557,0.179494,73.464808
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,10,0.095603,0.181982,33.344493,16672.168371,0.197429,74.212028
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,25,0.041553,0.146309,32.555253,21160.451418,0.251479,75.740348
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,50,-0.042428,0.087700,31.309164,28176.558514,0.335461,78.617050
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,0,1.202980,0.818083,206.494518,0.000000,0.000000,0.000000
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,5,1.091614,0.769995,200.883975,10044.228547,0.111366,54.010041
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,10,0.985462,0.721767,195.446556,19544.773725,0.217519,55.304715
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,25,0.698139,0.576989,180.211333,45053.551080,0.504841,59.572205
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,50,0.307216,0.335972,158.003492,79004.489297,0.895764,67.148251
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,0,1.091614,0.769995,200.884571,10044.228547,0.111366,54.010041
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,5,0.985462,0.721767,195.447147,19544.744203,0.217518,55.304790
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,10,0.884799,0.673544,190.186856,28528.145352,0.318181,56.712071
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,25,0.611692,0.528684,175.467051,52640.826515,0.591288,61.035243
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,50,0.240667,0.288186,153.984156,84694.004825,0.962313,68.755064
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,0,0.985462,0.721767,195.447737,19544.773725,0.217519,55.304715
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,5,0.884799,0.673544,190.187441,28528.145352,0.318181,56.712071
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,10,0.789100,0.625264,185.139120,37027.939975,0.413880,58.131772
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,25,0.529666,0.480471,170.867761,59804.421031,0.673314,62.532926
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,50,0.176951,0.240119,150.091865,90057.812586,1.026029,70.347706
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,0,0.789099,0.625263,185.140280,37028.055913,0.413882,58.131609
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,5,0.698140,0.576990,180.213630,45053.436213,0.504840,59.572341
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,10,0.611693,0.528685,175.468758,52640.741158,0.591287,61.035331
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,25,0.377999,0.384336,162.186612,72984.667883,0.824981,65.618590
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,50,0.059936,0.145167,142.716522,99904.212612,1.143044,73.670502
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,0,0.451608,0.432192,166.456907,66582.762834,0.751372,64.041801
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,5,0.377996,0.384334,162.188828,72985.000236,0.824985,65.618326
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,10,0.307220,0.335976,158.007881,79004.050393,0.895760,67.148580
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,25,0.117076,0.192685,146.365015,95137.927350,1.085904,72.007931
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,50,-0.142168,-0.044153,129.262337,116338.656685,1.345149,80.487931
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,0,0.499516,0.470260,42.434676,0.000000,0.000000,0.000000
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,5,0.476090,0.455299,42.119508,2105.987808,0.023426,106.616330
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,10,0.452426,0.440121,41.779018,4177.951195,0.047090,106.076670
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,25,0.384260,0.394468,40.845375,10211.647764,0.115256,108.349311
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,50,0.276614,0.318076,39.289610,19645.987480,0.222903,112.048057
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,0,0.476090,0.455299,42.119756,2105.987808,0.023426,106.616330
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,5,0.452426,0.440121,41.779265,4177.938840,0.047090,106.076949
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,10,0.429387,0.424805,41.475498,6221.373823,0.070130,106.841477
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,25,0.362153,0.379390,40.504235,12151.572939,0.137363,109.093875
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,50,0.256980,0.303446,38.998116,21450.142698,0.242536,113.275512
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,0,0.452426,0.440121,41.779512,4177.951195,0.047090,106.076670
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,5,0.429387,0.424805,41.475744,6221.373823,0.070130,106.841477
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,10,0.406423,0.409586,41.150328,8230.114399,0.093093,107.315133
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,25,0.340001,0.363775,40.214464,14075.362722,0.159515,109.601455
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,10,50,0.236177,0.287779,38.703650,23223.360732,0.263339,113.811459
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,0,0.406422,0.409586,41.150816,8230.163271,0.093094,107.314570
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,5,0.384261,0.394468,40.846348,10211.599127,0.115255,108.349768
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,10,0.362153,0.379390,40.504961,12151.536663,0.137363,109.094163
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,25,0.297342,0.333290,39.586212,17814.092690,0.202174,111.182637
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,20,50,0.196666,0.257259,38.131283,26693.057288,0.302850,115.456842
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,0,0.319267,0.349035,39.917588,15967.035304,0.180250,110.849862
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,5,0.297341,0.333289,39.587163,17814.235335,0.202175,111.181853
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,10,0.276615,0.318077,39.291502,19645.798251,0.222901,112.049008
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,25,0.216141,0.272457,38.389397,24953.398951,0.283375,114.578136
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,50,0.121924,0.197012,37.006300,33306.807486,0.377592,119.060923
2,MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,0,1.075001,0.682966,57.306352,0.000000,0.000000,0.000000
