ticker,strategy,window_id,date,portfolio_value,cash,holdings,total_return,drawdown
MSFT,RSI_Mean_Reversion,1,2023-12-05,100595.183341,5602.586143,94992.597198,0.005952,-0.006028
MSFT,RSI_Mean_Reversion,1,2023-12-06,99646.583030,5602.586143,94043.996887,-0.003534,-0.015401
MSFT,RSI_Mean_Reversion,1,2023-12-07,100194.839255,5602.586143,94592.253113,0.001948,-0.009983
MSFT,RSI_Mean_Reversion,1,2023-12-08,101031.238944,5602.586143,95428.652802,0.010312,-0.001719
MSFT,RSI_Mean_Reversion,1,2023-12-11,100284.083030,5602.586143,94681.496887,0.002841,-0.009101
MSFT,RSI_Mean_Reversion,1,2023-12-12,101069.487388,5602.586143,95466.901245,0.010695,-0.001341
MSFT,RSI_Mean_Reversion,1,2023-12-13,101066.934898,5602.586143,95464.348755,0.010669,-0.001366
MSFT,RSI_Mean_Reversion,1,2023-12-14,98914.734275,5602.586143,93312.148132,-0.010853,-0.022632
MSFT,RSI_Mean_Reversion,1,2023-12-15,100138.738944,5602.586143,94536.152802,0.001387,-0.010538
MSFT,RSI_Mean_Reversion,1,2023-12-18,100628.334586,5602.586143,95025.748444,0.006283,-0.005700
MSFT,RSI_Mean_Reversion,1,2023-12-19,100783.888633,5602.586143,95181.302490,0.007839,-0.004163
MSFT,RSI_Mean_Reversion,1,2023-12-20,100110.684898,5602.586143,94508.098755,0.001107,-0.010815
MSFT,RSI_Mean_Reversion,1,2023-12-21,100855.288322,5602.586143,95252.702179,0.008553,-0.003457
MSFT,RSI_Mean_Reversion,1,2023-12-22,101120.482719,5602.586143,95517.896576,0.011205,-0.000837
MSFT,RSI_Mean_Reversion,1,2023-12-26,101140.887076,5602.586143,95538.300934,0.011409,-0.000635
MSFT,RSI_Mean_Reversion,1,2023-12-27,100750.647985,100750.647985,0.000000,0.007506,-0.004491
MSFT,RSI_Mean_Reversion,1,2023-12-28,100750.647985,100750.647985,0.000000,0.007506,-0.004491
MSFT,RSI_Mean_Reversion,1,2023-12-29,100750.647985,100750.647985,0.000000,0.007506,-0.004491
