path,total_return,terminal_wealth,max_drawdown,sharpe
448,0.280434,128043,-0.315222,0.314891
449,0.934434,193443,-0.222773,0.716604
450,1.91966,291966,-0.246254,1.04419
451,1.01009,201009,-0.292273,0.722205
452,2.02831,302831,-0.237157,1.13547
453,2.07514,307514,-0.16159,1.0924
454,0.627552,162755,-0.318887,0.514704
455,1.3743,237430,-0.314209,0.877385
456,0.620559,162056,-0.261,0.515231
457,2.13852,313852,-0.234236,1.11195
458,1.3682,236820,-0.309142,0.890182
459,3.84325,484325,-0.223692,1.47728
460,1.79589,279589,-0.192654,0.994355
461,2.23216,323216,-0.264912,1.12492
462,1.20391,220391,-0.214862,0.752209
463,0.407391,140739,-0.591674,0.392765
464,-0.104468,89553.2,-0.465184,-0.00520198
465,1.43536,243536,-0.238367,0.902986
466,0.0126487,101265,-0.401854,0.10182
467,0.429083,142908,-0.380091,0.422171
468,0.346854,134685,-0.237789,0.360741
469,1.96078,296078,-0.294273,1.08368
470,0.453385,145338,-0.331251,0.425599
471,0.705991,170599,-0.278765,0.569528
472,2.04536,304536,-0.216133,1.08648
473,0.546087,154609,-0.285749,0.473576
474,6.94369,794369,-0.261109,1.80517
475,1.00946,200946,-0.194714,0.681942
476,-0.0219381,97806.2,-0.316835,0.0756616
477,2.71592,371592,-0.185364,1.21986
478,1.41111,241111,-0.295566,0.868912
479,0.679489,167949,-0.231265,0.563543
480,0.502905,150290,-0.283748,0.464545
481,0.975129,197513,-0.421177,0.684695
482,3.26437,426437,-0.162794,1.386
483,2.1772,317720,-0.234646,1.17397
484,0.228376,122838,-0.298858,0.274485
485,1.18356,218356,-0.329374,0.802672
486,1.18452,218452,-0.369558,0.868133
487,3.45881,445881,-0.189542,1.36318
488,0.819693,181969,-0.280952,0.64197
489,2.57367,357367,-0.206245,1.16128
490,3.001,400100,-0.239376,1.38982
491,0.653675,165368,-0.289132,0.543219
492,0.216502,121650,-0.29828,0.268727
493,0.45753,145753,-0.548037,0.410522
494,1.514,251400,-0.172839,0.900066
495,0.791671,179167,-0.309077,0.615777
496,0.946993,194699,-0.290206,0.679577
497,1.06484,206484,-0.209036,0.705915
498,0.555713,155571,-0.327417,0.508714
499,1.01625,201625,-0.372476,0.704111
500,1.54628,254628,-0.254726,0.916122
501,0.797011,179701,-0.314479,0.599983
502,3.23587,423587,-0.16942,1.39102
503,3.13474,413474,-0.170647,1.41326
504,0.650079,165008,-0.284923,0.529971
505,3.91701,491701,-0.208029,1.52474
506,1.95514,295514,-0.246164,1.04042
507,1.38964,238964,-0.224246,0.866663
508,0.845197,184520,-0.245574,0.666663
509,0.217166,121717,-0.236648,0.269687
510,0.536024,153602,-0.272418,0.476535
511,1.04443,204443,-0.225313,0.742577
512,2.71006,371006,-0.237087,1.28337
513,0.123248,112325,-0.381485,0.197961
514,1.90563,290563,-0.234465,1.07991
515,0.811649,181165,-0.404972,0.619081
516,0.906439,190644,-0.22039,0.649325
517,0.685731,168573,-0.261925,0.536538
518,0.339331,133933,-0.259682,0.364928
519,1.46784,246784,-0.363078,0.865622
520,2.74355,374355,-0.260717,1.25403
521,1.77969,277969,-0.148569,1.00559
522,1.60014,260014,-0.26386,0.963458
523,1.4156,241560,-0.248756,0.912967
524,3.14809,414809,-0.20735,1.37586
525,3.06193,406193,-0.164354,1.31913
526,-0.0238773,97612.3,-0.422043,0.0670084
527,0.952412,195241,-0.334043,0.732298
528,0.573826,157383,-0.352762,0.481429
529,0.403149,140315,-0.24113,0.401986
530,4.47193,547193,-0.156281,1.58763
531,2.48374,348374,-0.227532,1.19509
532,1.16354,216354,-0.34157,0.808402
533,2.48865,348865,-0.233021,1.23837
534,3.08434,408434,-0.33816,1.28408
535,0.982724,198272,-0.27772,0.711299
536,0.721652,172165,-0.415741,0.556693
537,2.81149,381149,-0.211674,1.34118
538,-0.0375862,96241.4,-0.450593,0.0601648
539,3.06366,406366,-0.196475,1.39085
540,0.383693,138369,-0.31867,0.377896
541,2.84106,384106,-0.312544,1.26496
542,0.379445,137944,-0.260791,0.378855
543,1.78906,278906,-0.171099,1.03624
544,0.69164,169164,-0.392506,0.569733
545,3.37511,437511,-0.236142,1.39102
546,-0.26577,73423,-0.472401,-0.1627
547,2.78187,378187,-0.173532,1.27131
548,6.32971,732971,-0.131958,2.01008
549,0.437447,143745,-0.294504,0.415945
550,0.937066,193707,-0.377983,0.67278
551,0.424266,142427,-0.224872,0.413708
552,1.36861,236861,-0.416633,0.839966
553,0.484913,148491,-0.275827,0.432432
554,1.16244,216244,-0.210102,0.80147
555,3.04089,404089,-0.287631,1.33328
556,5.1399,613990,-0.170973,1.69888
557,0.426574,142657,-0.288151,0.41018
558,0.600367,160037,-0.365149,0.519623
559,2.25587,325587,-0.229258,1.14518
560,2.28623,328623,-0.293595,1.16644
561,0.513033,151303,-0.248598,0.474907
562,0.36917,136917,-0.386172,0.376277
563,0.665607,166561,-0.227017,0.533788
564,1.43645,243645,-0.216393,0.861544
565,0.437425,143742,-0.210397,0.427242
566,2.96819,396819,-0.195785,1.31323
567,2.08487,308487,-0.23315,1.06921
568,1.3649,236490,-0.212544,0.8783
569,0.504554,150455,-0.344539,0.470377
